order,feature,cell_type,gene,age_pearson,abs_corr,modality,source_mode,required_from_model
58,CD8_CTL__KIF21A,CD8_CTL,KIF21A,0.4127939264722113,0.4127939264722113,RNA,model_prediction,True
59,γδT2__SH3RF2,γδT2,SH3RF2,0.4126758871398752,0.4126758871398752,RNA,frozen_development_median,False
60,CD4_Naïve__SLFN12L,CD4_Naïve,SLFN12L,0.4115168099872578,0.4115168099872578,RNA,model_prediction,True
61,CD4_Tcm__AIRE,CD4_Tcm,AIRE,0.411417359103857,0.411417359103857,RNA,model_prediction,True
62,cMono__BIN2,cMono,BIN2,-0.4112628147642909,0.4112628147642909,RNA,model_prediction,True
63,Swit.Bm__LEPROTL1,Swit.Bm,LEPROTL1,-0.4108973255221221,0.4108973255221221,RNA,model_prediction,True
64,CD8_CTL__TNFRSF25,CD8_CTL,TNFRSF25,-0.4108922303750406,0.4108922303750406,RNA,model_prediction,True
65,CD4_Treg__EEF1B2,CD4_Treg,EEF1B2,-0.4108854846993862,0.4108854846993862,RNA,model_prediction,True
66,DC__RSL1D1,DC,RSL1D1,-0.4107897552991144,0.4107897552991144,RNA,model_prediction,True
67,cMono__SRSF10,cMono,SRSF10,-0.4107064138688633,0.4107064138688633,RNA,model_prediction,True
68,CD4_Naïve__ZFP36L2,CD4_Naïve,ZFP36L2,-0.4100729011031362,0.4100729011031362,RNA,model_prediction,True
69,CD8_Tem__CCDC12,CD8_Tem,CCDC12,0.4098224906304658,0.4098224906304658,RNA,model_prediction,True
70,cMono__DIP2A,cMono,DIP2A,-0.4096053822993403,0.4096053822993403,RNA,model_prediction,True
71,DC__DGKA,DC,DGKA,-0.4095715697567675,0.4095715697567675,RNA,model_prediction,True
72,CD4_Naïve__DPP4,CD4_Naïve,DPP4,0.4088441919739012,0.4088441919739012,RNA,model_prediction,True
73,CD8_CTL__RASGRP2,CD8_CTL,RASGRP2,-0.4077695801507532,0.4077695801507532,RNA,model_prediction,True
74,CD4_Naïve__GREM2,CD4_Naïve,GREM2,0.4062456821763301,0.4062456821763301,RNA,model_prediction,True
75,CD8_CTL__ATP6V1G1,CD8_CTL,ATP6V1G1,-0.4059462010654449,0.4059462010654449,RNA,model_prediction,True
76,CD4_Naïve__STMN1,CD4_Naïve,STMN1,-0.4049797175739228,0.4049797175739228,RNA,model_prediction,True
77,CD8_CTL__NR2C1,CD8_CTL,NR2C1,-0.4047732087880337,0.4047732087880337,RNA,model_prediction,True
78,CD8_CTL__RCAN3,CD8_CTL,RCAN3,-0.4039560581307237,0.4039560581307237,RNA,model_prediction,True
79,Naïve_B__ZFC3H1,Naïve_B,ZFC3H1,0.4037781354514674,0.4037781354514674,RNA,model_prediction,True
80,CD4_Naïve__PPP1R12A,CD4_Naïve,PPP1R12A,0.4034242129651447,0.4034242129651447,RNA,model_prediction,True
81,cMono__CBX4,cMono,CBX4,-0.4023601555386093,0.4023601555386093,RNA,model_prediction,True
82,cMono__SATB1,cMono,SATB1,-0.4021660928910323,0.4021660928910323,RNA,model_prediction,True
83,CD4_Tcm__AUTS2,CD4_Tcm,AUTS2,-0.4015876057892976,0.4015876057892976,RNA,model_prediction,True
84,CD4_Naïve__PIK3IP1,CD4_Naïve,PIK3IP1,-0.4012987933511411,0.4012987933511411,RNA,model_prediction,True
85,DC__SRSF10,DC,SRSF10,-0.4003638376011244,0.4003638376011244,RNA,model_prediction,True
86,CD4_Treg__PIK3IP1,CD4_Treg,PIK3IP1,-0.4001686004823029,0.4001686004823029,RNA,model_prediction,True
87,cMono__LEPROTL1,cMono,LEPROTL1,-0.3999632145417129,0.3999632145417129,RNA,model_prediction,True
88,Swit.Bm__ZFP36L2,Swit.Bm,ZFP36L2,-0.3994125592572829,0.3994125592572829,RNA,model_prediction,True
89,Swit.Bm__SELENOH,Swit.Bm,SELENOH,-0.399307187113089,0.399307187113089,RNA,model_prediction,True
90,cMono__AKNA,cMono,AKNA,-0.3985410613282529,0.3985410613282529,RNA,model_prediction,True
91,CD4_Naïve__ATP5ME,CD4_Naïve,ATP5ME,-0.3978589941359488,0.3978589941359488,RNA,model_prediction,True
92,CD4_Naïve__PTGER2,CD4_Naïve,PTGER2,0.3978389503698299,0.3978389503698299,RNA,model_prediction,True
93,cMono__SRSF7,cMono,SRSF7,-0.3976644931723193,0.3976644931723193,RNA,model_prediction,True
94,CD4_Helper__PIK3IP1,CD4_Helper,PIK3IP1,-0.3972290867119667,0.3972290867119667,RNA,model_prediction,True
95,CD4_Naïve__ATP5F1E,CD4_Naïve,ATP5F1E,-0.3968549683673117,0.3968549683673117,RNA,model_prediction,True
96,DC__SATB1,DC,SATB1,-0.3967541592862085,0.3967541592862085,RNA,model_prediction,True
97,Prolif.T__C1orf21,Prolif.T,C1orf21,0.3967359086024381,0.3967359086024381,RNA,model_prediction,True
98,Swit.Bm__UQCRB,Swit.Bm,UQCRB,-0.3950072760228326,0.3950072760228326,RNA,model_prediction,True
99,cMono__SLC11A1,cMono,SLC11A1,-0.3950003457773645,0.3950003457773645,RNA,model_prediction,True
100,cMono__RICTOR,cMono,RICTOR,-0.3948862471516491,0.3948862471516491,RNA,model_prediction,True
101,cMono__EIF4A2,cMono,EIF4A2,-0.3947366199842611,0.3947366199842611,RNA,model_prediction,True
102,cMono__JDP2,cMono,JDP2,-0.3944175426622529,0.3944175426622529,RNA,model_prediction,True
103,Naïve_B__KRAS,Naïve_B,KRAS,0.3943805346703418,0.3943805346703418,RNA,model_prediction,True
104,CD4_Naïve__CR2,CD4_Naïve,CR2,-0.3942381136750175,0.3942381136750175,RNA,model_prediction,True
105,Naïve_B__GNAI2,Naïve_B,GNAI2,0.3941553908476334,0.3941553908476334,RNA,model_prediction,True
106,CD8_Tem__MYO6,CD8_Tem,MYO6,0.3938305701409804,0.3938305701409804,RNA,model_prediction,True
107,cMono__PCBP1,cMono,PCBP1,-0.3936737126271266,0.3936737126271266,RNA,model_prediction,True
108,Naïve_B__CCDC50,Naïve_B,CCDC50,0.3935861029889953,0.3935861029889953,RNA,model_prediction,True
109,CD4_Tcm__IFITM3,CD4_Tcm,IFITM3,0.3930317103379593,0.3930317103379593,RNA,model_prediction,True
110,CD4_Naïve__TCFL5,CD4_Naïve,TCFL5,-0.3928321668172004,0.3928321668172004,RNA,model_prediction,True
111,Naïve_B__GYPC,Naïve_B,GYPC,-0.3919750114198602,0.3919750114198602,RNA,model_prediction,True
112,CD4_Tcm__CCND3,CD4_Tcm,CCND3,-0.3911590192121618,0.3911590192121618,RNA,model_prediction,True
113,Swit.Bm__PCBP2,Swit.Bm,PCBP2,-0.3910247130089843,0.3910247130089843,RNA,model_prediction,True
114,CD8_CTL__MT-ND4L,CD8_CTL,MT-ND4L,-0.3907100967168019,0.3907100967168019,RNA,model_prediction,True
115,CD8_CTL__FASLG,CD8_CTL,FASLG,0.3903148491629178,0.3903148491629178,RNA,model_prediction,True
116,CD4_Naïve__ZC3H13,CD4_Naïve,ZC3H13,0.3901645180213109,0.3901645180213109,RNA,model_prediction,True
117,CD4_Tcm__PRMT2,CD4_Tcm,PRMT2,-0.3899345612047696,0.3899345612047696,RNA,model_prediction,True
118,CD8_CTL__LEPROTL1,CD8_CTL,LEPROTL1,-0.3898715338668351,0.3898715338668351,RNA,model_prediction,True
119,CD4_Tcm__PPIG,CD4_Tcm,PPIG,0.3896155128291312,0.3896155128291312,RNA,model_prediction,True
120,CD4_Tcm__PIK3IP1,CD4_Tcm,PIK3IP1,-0.3893577672802567,0.3893577672802567,RNA,model_prediction,True
121,CD4_Treg__NR1D2,CD4_Treg,NR1D2,0.3891545783970527,0.3891545783970527,RNA,model_prediction,True
