feature,age_pearson,abs_corr,modality
CD4_Tcm__SESN3,0.37311515382888893,0.37311515382888893,RNA
cMono__SETD1B,-0.37286747511596,0.37286747511596,RNA
DC__LRIG2,-0.37248516067429444,0.37248516067429444,RNA
Naïve_B__NCOR1,0.37228438269470615,0.37228438269470615,RNA
CD8_CTL__DGKA,-0.3718090527395845,0.3718090527395845,RNA
CD8_CTL__IRS2,-0.3714983152587645,0.3714983152587645,RNA
cMono__KHSRP,-0.37148664163148765,0.37148664163148765,RNA
cMono__ATF6B,-0.37147485984038836,0.37147485984038836,RNA
CD4_Naïve__SLC25A5,-0.3714181554888034,0.3714181554888034,RNA
CD4_Treg__EZR,0.3712627966132777,0.3712627966132777,RNA
DC__TCF7,-0.37078303692881925,0.37078303692881925,RNA
Swit.Bm__GRAMD1C,0.37043052191062503,0.37043052191062503,RNA
CD4_Naïve__HIF1A,-0.37041582158212744,0.37041582158212744,RNA
DC__SERPINA1,0.3695825443639023,0.3695825443639023,RNA
Naïve_B__EIF3H,-0.36866730245401036,0.36866730245401036,RNA
NKbright__VPS4B,0.3683276003807015,0.3683276003807015,RNA
immature_T__MT-CO3,-0.3679973003393572,0.3679973003393572,RNA
CD4_Naïve__PDE7A,-0.36793632061756537,0.36793632061756537,RNA
CD4_Naïve__BCL2,0.3678131627767997,0.3678131627767997,RNA
cMono__TXNIP,-0.3676246034425882,0.3676246034425882,RNA
CD8_CTL__ZFP36L2,-0.3670739560666174,0.3670739560666174,RNA
cMono__HNRNPL,-0.36662310080520777,0.36662310080520777,RNA
cMono__SDCBP,-0.36658852301628153,0.36658852301628153,RNA
CD8_CTL__HSP90AB1,-0.3665338186792256,0.3665338186792256,RNA
cMono__SRSF2,-0.3660155668219251,0.3660155668219251,RNA
CD4_Naïve__CBX3,-0.36600504881245277,0.36600504881245277,RNA
CD4_Tcm__EEF1B2,-0.36589561639582086,0.36589561639582086,RNA
CD4_Tcm__MAZ,0.36530330173183523,0.36530330173183523,RNA
immature_T__RORA,0.36515678118130296,0.36515678118130296,RNA
CD4_Naïve__CD84,0.365029166874041,0.365029166874041,RNA
CD8_CTL__NOP53,-0.3649408635546698,0.3649408635546698,RNA
CD8_CTL__RERE,-0.36465920004753904,0.36465920004753904,RNA
Swit.Bm__PIK3IP1,-0.3644410402661215,0.3644410402661215,RNA
CD4_Tcm__TSC22D3,-0.3642036548184348,0.3642036548184348,RNA
CD8_CTL__NLRP1,-0.363934558640777,0.363934558640777,RNA
CD4_Naïve__ATP5MG,-0.36387441588729613,0.36387441588729613,RNA
CD8_CTL__CHCHD10,-0.3638137628530857,0.3638137628530857,RNA
CD8_CTL__MFAP1,0.3635496758510168,0.3635496758510168,RNA
CD8_Tem__NEIL1,-0.36348432701084826,0.36348432701084826,RNA
cMono__TCF7,-0.36346312232582234,0.36346312232582234,RNA
cMono__SERPINA1,0.3627930075124438,0.3627930075124438,RNA
Prolif.T__RGS10,-0.36272471831548175,0.36272471831548175,RNA
CD8_CTL__TSC22D3,-0.3624685518268264,0.3624685518268264,RNA
cMono__UBC,-0.36244419027253594,0.36244419027253594,RNA
immature_T__ATP5F1E,-0.3624157345658129,0.3624157345658129,RNA
CD4_Naïve__SATB1,-0.36221319140394326,0.36221319140394326,RNA
DC__LEF1,-0.3621031328881419,0.3621031328881419,RNA
cMono__C19orf38,-0.36208455920163246,0.36208455920163246,RNA
CD4_Naïve__TSC22D3,-0.36162652608796114,0.36162652608796114,RNA
DC__ATF6B,-0.36150244519949576,0.36150244519949576,RNA
cMono__CBLB,-0.36147691693095785,0.36147691693095785,RNA
Naïve_B__TNFRSF13B,0.3614495450116654,0.3614495450116654,RNA
CD4_Treg__HIF1A,-0.3614468119260906,0.3614468119260906,RNA
CD8_Tem__ISCU,-0.3605821787473008,0.3605821787473008,RNA
CD8_Tem__SF3B1,-0.36027766943688116,0.36027766943688116,RNA
CD4_Treg__ARID5B,0.3601964789329463,0.3601964789329463,RNA
CD8_Tem__GOLGA8B,-0.36008481296146483,0.36008481296146483,RNA
CD8_CTL__DDX39B,-0.3596040589617199,0.3596040589617199,RNA
CD4_Tcm__UQCRB,-0.3592671061075336,0.3592671061075336,RNA
cMono__MAPK8IP3,-0.35920916984842227,0.35920916984842227,RNA
CD4_Naïve__SMARCA5,0.3591835078806983,0.3591835078806983,RNA
DC__PIK3IP1,-0.35893550450545497,0.35893550450545497,RNA
CD4_Naïve__CACHD1,-0.3588994550098529,0.3588994550098529,RNA
Transit.NK__CRIP1,0.3588919777048513,0.3588919777048513,RNA
DC__APOLD1,-0.35887476271440377,0.35887476271440377,RNA
Naïve_B__XRN1,0.3587799804026717,0.3587799804026717,RNA
Naïve_B__BTG2,0.3587762158497977,0.3587762158497977,RNA
cMono__RGS10,-0.3584911480022833,0.3584911480022833,RNA
DC__ZNF276,-0.3584434737744471,0.3584434737744471,RNA
CD4_Naïve__CA6,0.3584324436035922,0.3584324436035922,RNA
cMono__MT-CO3,-0.35819988634858607,0.35819988634858607,RNA
cMono__SRSF11,-0.35805539619063664,0.35805539619063664,RNA
Naïve_B__HNRNPU,0.35805517544979276,0.35805517544979276,RNA
cMono__WBP11,-0.35785044456171033,0.35785044456171033,RNA
CD8_CTL__TRA2B,-0.35783456646933154,0.35783456646933154,RNA
cMono__MT-CO2,-0.35755052234476775,0.35755052234476775,RNA
DC__MAP2K3,-0.3574794023813217,0.3574794023813217,RNA
DC__IL7R,-0.3567495527186739,0.3567495527186739,RNA
CD4_Tcm__PDE4D,-0.35658411101324045,0.35658411101324045,RNA
Swit.Bm__GSN,0.356512385118089,0.356512385118089,RNA
CD4_Treg__SH3BGRL3,0.3561002581641556,0.3561002581641556,RNA
CD8_CTL__ITM2C,-0.35599482466935894,0.35599482466935894,RNA
Swit.Bm__GYPC,-0.3559178446995863,0.3559178446995863,RNA
DC__PCED1A,-0.35558372181904363,0.35558372181904363,RNA
CD4_Tcm__SYT11,0.35556589842340314,0.35556589842340314,RNA
Swit.Bm__PPDPF,-0.35555055580728573,0.35555055580728573,RNA
Swit.Bm__NOP53,-0.3554228484776023,0.3554228484776023,RNA
DC__IRF2BP2,-0.3553886838395439,0.3553886838395439,RNA
